Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Vehicle Images
2024-07-05 23:42:00,23:42:00,CNR3196156650,Success,CID243275,Bike,Electronic City,Langford Town,140,40,,,No,,401,Cash,8,3.3,3.9,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-09 11:11:00,11:11:00,CNR9975925287,Success,CID162055,Prime SUV,Magadi Road,RT Nagar,42,30,,,No,,343,UPI,17,3,3.8,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-12 14:44:00,14:44:00,CNR1591113431,Success,CID902781,eBike,Koramangala,Sarjapur Road,245,70,,,No,,2014,Cash,33,4.2,4.9,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-11 20:42:00,20:42:00,CNR3650331573,Success,CID217093,eBike,Basavanagudi,Hulimavu,84,25,,,No,,650,Cash,34,4.9,3.4,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-08 22:33:00,22:33:00,CNR6013805089,Success,CID817034,Prime Sedan,Padmanabhanagar,Jayanagar,168,65,,,No,,231,Cash,2,3.2,3.7,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-16 10:17:00,10:17:00,CNR4306636052,Canceled by Driver,CID103842,Prime SUV,Mysore Road,Vijayanagar,,,,Customer was coughing/sick,,,909,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-03 18:20:00,18:20:00,CNR9832070187,Success,CID655872,Bike,Koramangala,BTM Layout,231,145,,,No,,189,Cash,6,4.9,3.3,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-03 21:17:00,21:17:00,CNR5620539253,Success,CID290480,Prime Plus,Mysore Road,Sahakar Nagar,56,105,,,No,,311,Cash,28,4.3,3,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-19 21:18:00,21:18:00,CNR4443921904,Success,CID654618,Mini,Tumkur Road,Koramangala,231,50,,,No,,286,UPI,44,4,3.3,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-25 03:44:00,03:44:00,CNR7194303296,Success,CID538245,Mini,Mysore Road,Hennur,175,50,,,No,,141,UPI,35,4.7,3.1,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-15 17:11:00,17:11:00,CNR6494005067,Success,CID805360,Auto,Yelahanka,Malleshwaram,84,60,,,No,,214,UPI,2,3.3,4.5,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-30 19:44:00,19:44:00,CNR6805579107,Success,CID810214,Prime SUV,Indiranagar,Indiranagar,35,145,,,No,,2183,Cash,20,4,4.4,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-21 08:26:00,08:26:00,CNR6003663433,Canceled by Customer,CID350426,Prime Plus,Rajajinagar,Chamarajpet,,,Driver asked to cancel,,,,604,,0,,,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-23 07:04:00,07:04:00,CNR2998177390,Driver Not Found,CID946041,Auto,RT Nagar,Yelahanka,,,,,,,802,,0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-27 06:18:00,06:18:00,CNR7979458138,Success,CID978509,eBike,Frazer Town,Indiranagar,189,65,,,No,,1095,Cash,38,4.8,4.7,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-23 10:17:00,10:17:00,CNR7286474506,Canceled by Customer,CID500806,eBike,Jayanagar,Richmond Town,,,Driver is not moving towards pickup location,,,,120,,0,,,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-23 12:56:00,12:56:00,CNR9820692957,Success,CID625327,Prime Sedan,Koramangala,Hosur Road,49,85,,,No,,241,Cash,33,3.2,3.5,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-08 11:52:00,11:52:00,CNR4094067439,Success,CID896062,Prime Sedan,Majestic,Jayanagar,77,140,,,No,,475,Cash,45,4.3,3.1,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-14 05:25:00,05:25:00,CNR7142279862,Success,CID378034,eBike,Yeshwanthpur,JP Nagar,210,45,,,No,,461,UPI,49,4.5,3.1,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-23 09:33:00,09:33:00,CNR5488574120,Canceled by Driver,CID169284,Auto,Peenya,Hosur Road,,,,Customer related issue,,,783,,0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-03 16:16:00,16:16:00,CNR8148468821,Canceled by Driver,CID347094,Prime Plus,Marathahalli,BTM Layout,,,,Customer was coughing/sick,,,995,,0,,,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-03 00:58:00,00:58:00,CNR5176704322,Success,CID296026,Prime Plus,KR Puram,Hennur,287,40,,,Yes,Customer Demand,1102,UPI,41,3.1,3.5,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-24 17:31:00,17:31:00,CNR9287248724,Canceled by Driver,CID959554,Prime SUV,Hosur Road,Yeshwanthpur,,,,Customer related issue,,,170,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-10 21:56:00,21:56:00,CNR7547352327,Success,CID976231,Prime Plus,Hulimavu,Rajarajeshwari Nagar,210,105,,,No,,444,UPI,6,3.8,4.9,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-20 15:30:00,15:30:00,CNR9660405769,Canceled by Driver,CID483311,eBike,Electronic City,Varthur,,,,Customer related issue,,,1130,,0,,,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-11 03:22:00,03:22:00,CNR4251304471,Success,CID888740,Prime SUV,Shivajinagar,Jayanagar,294,145,,,No,,876,Cash,21,4.7,3.3,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-06 15:02:00,15:02:00,CNR1568684278,Success,CID709612,Prime Plus,Bannerghatta Road,Majestic,42,90,,,No,,680,UPI,24,4.7,3.8,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-05 20:28:00,20:28:00,CNR2230045814,Success,CID961125,Prime SUV,Cox Town,Chamarajpet,266,65,,,No,,425,Cash,11,3.5,4.6,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-11 11:28:00,11:28:00,CNR7871058089,Success,CID221021,Mini,Hennur,Kengeri,56,140,,,No,,989,Cash,4,4.5,4.2,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-16 16:25:00,16:25:00,CNR5503358927,Driver Not Found,CID552049,Bike,Peenya,MG Road,,,,,,,594,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-12 18:02:00,18:02:00,CNR2708187615,Success,CID415325,Prime Plus,Devanahalli,Rajajinagar,294,95,,,No,,443,Cash,5,3.4,3.1,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-16 22:35:00,22:35:00,CNR1625119636,Success,CID745270,eBike,Ramamurthy Nagar,Sahakar Nagar,35,95,,,No,,721,Cash,19,3.8,4.7,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-26 13:20:00,13:20:00,CNR9312632867,Success,CID649563,Prime SUV,Tumkur Road,Mysore Road,217,120,,,Yes,Vehicle Breakdown,2936,Cash,34,4.1,4.6,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-25 03:33:00,03:33:00,CNR5274603340,Success,CID477783,Prime SUV,Electronic City,Banashankari,77,35,,,No,,747,Cash,25,5,3.5,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-17 03:30:00,03:30:00,CNR1050003752,Success,CID993137,Bike,Chamarajpet,Shivajinagar,308,110,,,No,,799,UPI,25,3.9,4.7,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-07 05:59:00,05:59:00,CNR3603517873,Success,CID386651,eBike,Rajarajeshwari Nagar,Marathahalli,63,135,,,No,,300,Cash,14,3.3,4.6,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-01 02:21:00,02:21:00,CNR1557960488,Driver Not Found,CID884386,Prime SUV,Rajarajeshwari Nagar,Varthur,,,,,,,162,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-01 02:45:00,02:45:00,CNR9758857830,Success,CID528642,Prime Plus,HSR Layout,Magadi Road,308,70,,,No,,618,UPI,30,3.5,3.7,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-02 04:17:00,04:17:00,CNR8080410192,Success,CID416746,eBike,Jayanagar,JP Nagar,91,120,,,No,,251,UPI,9,5,4.4,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-13 02:27:00,02:27:00,CNR1648186942,Canceled by Driver,CID713303,Bike,Hennur,Padmanabhanagar,,,,More than permitted people in there,,,543,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-25 10:57:00,10:57:00,CNR2433490646,Success,CID954071,Mini,Hennur,Chamarajpet,35,115,,,No,,724,Cash,11,4.5,4.8,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-18 00:37:00,00:37:00,CNR7825941026,Success,CID234007,Mini,Marathahalli,Langford Town,196,80,,,No,,316,UPI,27,3.1,4.7,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-22 13:08:00,13:08:00,CNR9148580255,Success,CID164393,Prime SUV,Tumkur Road,Magadi Road,224,60,,,No,,138,UPI,24,5,3,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-15 07:21:00,07:21:00,CNR2946309760,Success,CID984343,Prime Plus,Hosur Road,Hennur,280,55,,,No,,467,Cash,24,4.5,4.2,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-19 10:29:00,10:29:00,CNR3472489570,Driver Not Found,CID621402,Prime SUV,Electronic City,Marathahalli,,,,,,,565,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-07 16:56:00,16:56:00,CNR1768885472,Canceled by Driver,CID130993,Prime SUV,Basavanagudi,Padmanabhanagar,,,,More than permitted people in there,,,276,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-06 01:18:00,01:18:00,CNR7486448495,Success,CID931462,Auto,Ulsoor,Padmanabhanagar,63,65,,,No,,296,UPI,5,4,4.3,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-04 15:32:00,15:32:00,CNR2735636504,Driver Not Found,CID111173,Prime SUV,Cox Town,Chamarajpet,,,,,,,1310,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-26 17:17:00,17:17:00,CNR7533317866,Canceled by Customer,CID867762,Mini,Shantinagar,Hulimavu,,,AC is Not working,,,,771,,0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-01 02:55:00,02:55:00,CNR5758479139,Success,CID805528,Prime Sedan,RT Nagar,Chickpet,42,25,,,No,,279,Cash,43,4.3,3.4,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-22 16:24:00,16:24:00,CNR8021985469,Success,CID604351,Mini,Hosur Road,Kadugodi,308,145,,,No,,321,Cash,39,3.3,4.7,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-21 19:56:00,19:56:00,CNR3800597072,Success,CID386103,Mini,JP Nagar,Chickpet,189,35,,,No,,457,Cash,1,4.1,3.4,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-05 13:55:00,13:55:00,CNR6179425512,Success,CID607886,Mini,Bannerghatta Road,Basavanagudi,217,45,,,No,,139,Cash,45,4.9,3.8,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-29 19:40:00,19:40:00,CNR7924302885,Success,CID517661,Auto,Magadi Road,Nagarbhavi,168,140,,,Yes,Customer Demand,685,UPI,7,4.1,4.9,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-15 21:19:00,21:19:00,CNR7181374756,Canceled by Driver,CID700952,Auto,Devanahalli,Kammanahalli,,,,More than permitted people in there,,,150,,0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-16 13:15:00,13:15:00,CNR2830899440,Success,CID808607,Mini,Kadugodi,Frazer Town,133,90,,,No,,196,UPI,21,4.3,3.4,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-14 11:37:00,11:37:00,CNR7592165192,Canceled by Driver,CID863704,Prime SUV,Rajarajeshwari Nagar,HSR Layout,,,,Personal & Car related issue,,,424,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-11 21:40:00,21:40:00,CNR6077524333,Canceled by Driver,CID708519,Prime SUV,Chickpet,Shantinagar,,,,More than permitted people in there,,,827,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-14 04:15:00,04:15:00,CNR8854206454,Success,CID932765,eBike,Langford Town,Kadugodi,301,115,,,No,,770,Cash,27,3.3,4.3,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-17 07:30:00,07:30:00,CNR6387231274,Driver Not Found,CID686160,Prime Sedan,Bannerghatta Road,Indiranagar,,,,,,,325,,0,,,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-04 14:43:00,14:43:00,CNR6215530366,Success,CID713821,eBike,Devanahalli,Jayanagar,161,25,,,No,,986,Cash,18,4.6,4.8,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-29 14:56:00,14:56:00,CNR4314026109,Success,CID259573,Prime SUV,Tumkur Road,Bannerghatta Road,266,115,,,No,,2208,Cash,40,4,4.5,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-17 19:55:00,19:55:00,CNR9027465661,Success,CID737388,Prime Sedan,BTM Layout,Majestic,168,30,,,No,,1695,UPI,20,4.5,4.7,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-20 10:58:00,10:58:00,CNR5003494701,Canceled by Driver,CID761134,Mini,Sarjapur Road,Majestic,,,,Customer related issue,,,305,,0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-08 09:18:00,09:18:00,CNR2064658821,Success,CID954441,Bike,Peenya,Devanahalli,63,105,,,No,,2271,Cash,37,3.4,4.2,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-07 01:31:00,01:31:00,CNR2149029235,Success,CID596869,Auto,Chickpet,Hennur,154,135,,,No,,240,UPI,4,4,4.9,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-30 01:20:00,01:20:00,CNR9704400677,Success,CID974657,Mini,Langford Town,Vijayanagar,287,95,,,No,,482,Cash,37,4.4,3.9,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-03 11:25:00,11:25:00,CNR8836460204,Success,CID716037,eBike,Bellandur,Shantinagar,252,45,,,No,,536,UPI,17,3.9,4.4,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-11 10:44:00,10:44:00,CNR3697318609,Success,CID915228,Bike,Sarjapur Road,Chickpet,287,100,,,No,,188,UPI,37,4.9,4.1,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-22 18:17:00,18:17:00,CNR6541289543,Canceled by Driver,CID656539,Prime SUV,Frazer Town,Whitefield,,,,Customer related issue,,,202,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-21 06:54:00,06:54:00,CNR8369601219,Canceled by Driver,CID581505,Prime SUV,Richmond Town,Jayanagar,,,,Customer related issue,,,1609,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-22 00:21:00,00:21:00,CNR8346388703,Canceled by Driver,CID680143,Mini,Magadi Road,BTM Layout,,,,Personal & Car related issue,,,1821,,0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-26 09:39:00,09:39:00,CNR4445082348,Success,CID336831,Mini,Yelahanka,BTM Layout,42,40,,,No,,415,UPI,22,3.6,3.1,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-26 06:06:00,06:06:00,CNR5528764313,Success,CID808205,Prime SUV,Ramamurthy Nagar,Bannerghatta Road,308,145,,,No,,2125,UPI,6,3.8,4.6,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-03 15:04:00,15:04:00,CNR3967141568,Canceled by Driver,CID163765,Auto,Padmanabhanagar,Ramamurthy Nagar,,,,Customer related issue,,,758,,0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-07 09:55:00,09:55:00,CNR7054352438,Driver Not Found,CID270321,Mini,Hennur,Cox Town,,,,,,,653,,0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-22 12:51:00,12:51:00,CNR1640228587,Success,CID190281,Prime Sedan,Kengeri,Mysore Road,168,135,,,Yes,Other Issue,704,Cash,42,4.7,4.8,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-19 04:48:00,04:48:00,CNR6684033796,Success,CID352268,Auto,Indiranagar,Whitefield,84,105,,,No,,385,Cash,19,4.1,3.7,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-01 05:03:00,05:03:00,CNR4158584922,Success,CID772392,Auto,Sahakar Nagar,Ramamurthy Nagar,35,45,,,No,,934,UPI,12,3.3,5,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-23 04:01:00,04:01:00,CNR5133236273,Canceled by Driver,CID905849,Prime Plus,Banashankari,Chickpet,,,,Customer related issue,,,615,,0,,,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-26 08:22:00,08:22:00,CNR5661490576,Success,CID546076,Bike,Magadi Road,Electronic City,56,30,,,No,,2202,Cash,44,4.7,3.4,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-05 12:36:00,12:36:00,CNR2304446757,Success,CID432144,eBike,Rajarajeshwari Nagar,MG Road,252,145,,,No,,205,Cash,43,4.1,3.1,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-18 07:21:00,07:21:00,CNR3780555542,Canceled by Customer,CID803813,Mini,Tumkur Road,Chamarajpet,,,Driver asked to cancel,,,,513,,0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-21 08:21:00,08:21:00,CNR1559782157,Success,CID906966,Auto,Ulsoor,Bellandur,182,50,,,No,,247,Cash,8,3.1,3.3,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-13 02:55:00,02:55:00,CNR7623690602,Success,CID526261,Bike,Cox Town,Malleshwaram,259,75,,,Yes,Other Issue,558,UPI,41,3.2,3.2,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-08 07:56:00,07:56:00,CNR2098165198,Success,CID619972,Prime Sedan,Yelahanka,Ramamurthy Nagar,217,55,,,No,,291,UPI,5,3.8,3.3,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-22 04:32:00,04:32:00,CNR5502012579,Success,CID748475,Mini,Vijayanagar,Kengeri,56,110,,,No,,925,Cash,22,3,4,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-24 21:58:00,21:58:00,CNR4698965967,Success,CID529347,Prime Sedan,Ramamurthy Nagar,Chickpet,280,30,,,No,,121,Cash,44,3.8,4.5,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-21 03:13:00,03:13:00,CNR8566688320,Driver Not Found,CID175878,Bike,Chickpet,Shivajinagar,,,,,,,404,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-29 12:44:00,12:44:00,CNR8014852782,Canceled by Customer,CID737119,Prime Plus,Kammanahalli,Magadi Road,,,Change of plans,,,,223,,0,,,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-15 08:31:00,08:31:00,CNR6012739836,Driver Not Found,CID308763,Prime Sedan,Ramamurthy Nagar,Magadi Road,,,,,,,2989,,0,,,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-01 11:01:00,11:01:00,CNR3404012927,Success,CID344186,Mini,Chickpet,Chamarajpet,63,130,,,No,,728,Cash,14,4.3,5,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-11 10:50:00,10:50:00,CNR9282027845,Success,CID767941,Bike,Yeshwanthpur,KR Puram,210,85,,,No,,2416,UPI,49,3.1,3.8,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-30 10:02:00,10:02:00,CNR5508853708,Canceled by Customer,CID812594,Prime Plus,Shivajinagar,HSR Layout,,,Driver is not moving towards pickup location,,,,371,,0,,,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-07 18:36:00,18:36:00,CNR4241139229,Success,CID133723,Prime Plus,Kammanahalli,Shivajinagar,203,25,,,No,,258,Cash,32,4.7,4.1,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-27 23:48:00,23:48:00,CNR8306274838,Driver Not Found,CID117206,Bike,Bellandur,Rajarajeshwari Nagar,,,,,,,170,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-16 15:25:00,15:25:00,CNR1903850514,Canceled by Customer,CID126419,eBike,Mysore Road,Vijayanagar,,,Driver asked to cancel,,,,151,,0,,,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-26 21:02:00,21:02:00,CNR1852948877,Canceled by Driver,CID953990,Prime Sedan,Yelahanka,Majestic,,,,Customer related issue,,,425,,0,,,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-04 03:31:00,03:31:00,CNR5744401218,Success,CID507511,Bike,Yelahanka,Varthur,91,25,,,No,,220,UPI,2,3.4,3.1,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-16 10:15:00,10:15:00,CNR7221640450,Success,CID195611,Prime Sedan,RT Nagar,Whitefield,301,145,,,No,,472,UPI,16,3.3,4.5,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-20 22:27:00,22:27:00,CNR8395803905,Canceled by Driver,CID925776,eBike,Bannerghatta Road,RT Nagar,,,,Customer related issue,,,616,,0,,,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-15 09:20:00,09:20:00,CNR3750351374,Success,CID524066,Prime SUV,Mysore Road,Peenya,42,130,,,No,,473,Cash,49,4,4.2,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-04 18:13:00,18:13:00,CNR2869164142,Success,CID884352,Prime SUV,BTM Layout,Malleshwaram,126,115,,,No,,259,Cash,11,4.8,4.5,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-27 11:58:00,11:58:00,CNR8303547069,Success,CID471469,Mini,Langford Town,Richmond Town,77,35,,,No,,310,Credit Card,2,3.3,3.1,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-09 21:32:00,21:32:00,CNR7368110421,Canceled by Driver,CID372218,Mini,Peenya,Sarjapur Road,,,,Personal & Car related issue,,,200,,0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-30 10:14:00,10:14:00,CNR7500310853,Success,CID377809,Prime Sedan,Jayanagar,Richmond Town,189,85,,,No,,471,UPI,39,3.5,3.7,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-13 21:23:00,21:23:00,CNR8925319975,Success,CID388701,Prime Sedan,Yelahanka,Rajajinagar,287,125,,,No,,442,UPI,37,4.1,4.5,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-29 19:56:00,19:56:00,CNR9261561390,Success,CID853883,Auto,Koramangala,Majestic,175,65,,,No,,228,Cash,10,3.7,4.3,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
